title,genres,synopsis,rating,actors,directors
Sidelined: The QB and Me,"Comedy, Romance","Dallas, a burdened but headstrong dancer, is determined to get into the best dance school in the country—her late mother’s alma mater. However, that dream is suddenly derailed when the cheeky yet secretly grieving football star, Drayton, crashes into her life with a unique story of his own. Will the two of them be able to grow into their dreams together, or will their dreams be sidelined?",5.8,"Siena Agudong, Noah Beck, Drew Ray Tanner",Justin Wu
Dhoom Dhaam,"Comedy, Romance, Action","On their wedding night, an oddball couple is thrust into a chaotic chase, dodging goons and cops in a frenzied hunt for the mysterious ""Charlie.""",6.6,"Yami Gautam, Pratik Gandhi, Eijaz Khan",Rishab Seth
Room in Rome,"Drama, Romance","A hotel room in the center of Rome serves as the setting for Alba and Natasha, two sexy and recently acquainted women, to have a physical adventure that touches their very souls.",6.417,"Elena Anaya, Natasha Yarovenko, Enrico Lo Verso",Julio Medem
Inside Out,"Animation, Family, Adventure, Drama, Comedy","When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home.",7.911,"Amy Poehler, Phyllis Smith, Richard Kind",Pete Docter
Snowpiercer,"Action, Science Fiction, Drama","In a future where a failed global-warming experiment kills off most life on the planet, a class system evolves aboard the Snowpiercer; a train that travels around the globe via a perpetual-motion engine.",6.903,"Chris Evans, Song Kang-ho, Ed Harris",Bong Joon Ho
Coraline,"Animation, Family, Fantasy","Wandering her rambling old house in her boring new town, 11-year-old Coraline discovers a hidden door to a strangely idealized version of her life. In order to stay in the fantasy, she must make a frighteningly real sacrifice.",7.889,"Dakota Fanning, Teri Hatcher, Jennifer Saunders",Henry Selick
Parthenope,"Romance, Drama","Parthenope, born in the sea near Naples in 1950, is beautiful, enigmatic, and intelligent. She is shamelessly courted by many. However, beauty comes at a cost.",6.872,"Celeste Dalla Porta, Stefania Sandrelli, Gary Oldman",Paolo Sorrentino
Spirited Away,"Animation, Family, Fantasy","A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",8.538,"Rumi Hiiragi, Miyu Irino, Mari Natsuki",Hayao Miyazaki
The Maze Runner,"Action, Mystery, Science Fiction, Thriller","Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow “runners” for a shot at escape.",7.189,"Dylan O'Brien, Kaya Scodelario, Aml Ameen",Wes Ball
Parasite,"Comedy, Thriller, Drama","All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",8.501,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong",Bong Joon Ho
Gladiator,"Action, Drama, Adventure","After the death of Emperor Marcus Aurelius, his devious son takes power and demotes Maximus, one of Rome's most capable generals who Marcus preferred. Eventually, Maximus is forced to become a gladiator and battle to the death against other men for the amusement of paying audiences.",8.218,"Russell Crowe, Joaquin Phoenix, Connie Nielsen",Ridley Scott
Arcadian,"Action, Horror, Thriller, Science Fiction","In the near future, on a decimated Earth, Paul and his twin sons face terror at night when ferocious creatures awaken. When Paul is nearly killed, the boys come up with a plan for survival, using everything their father taught them to keep him alive.",6.2,"Nicolas Cage, Jaeden Martell, Maxwell Jenkins",Benjamin Brewer
Dune,"Science Fiction, Adventure","Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",7.782,"Timothée Chalamet, Rebecca Ferguson, Oscar Isaac",Denis Villeneuve
A Quiet Place: Day One,"Horror, Science Fiction, Thriller","As New York City is invaded by alien creatures who hunt by sound, a woman named Sam fights to survive with her cat.",6.743,"Lupita Nyong'o, Joseph Quinn, Alex Wolff",Michael Sarnoski
Anatema,Horror,"Juana is a nun with a strong character marked by a paranormal experience. A mysterious order from the Archbishopric will take her to an old church in old Madrid, built on a network of passageways of unknown origin. There, Juana will discover that in the bowels of the building there is something prior to the legends that are explained about that place. And the Evil that lives there has begun to infect the exterior.",5.913,"Leonor Watling, Pablo Derqui, Jaime Ordóñez",Jimina Sabadú
Avatar,"Action, Adventure, Fantasy, Science Fiction","In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",7.587,"Sam Worthington, Zoe Saldaña, Sigourney Weaver",James Cameron
Sonic the Hedgehog 2,"Action, Adventure, Family, Comedy","After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",7.473,"Ben Schwartz, James Marsden, Tika Sumpter",Jeff Fowler
Victoria,Animation,Wordless animated fim from Robert Sahakyants,0.0,,Robert Sahakyants
Inception,"Action, Science Fiction, Adventure","Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",8.369,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ken Watanabe",Christopher Nolan
Furiosa: A Mad Max Saga,"Action, Science Fiction, Adventure","As the world falls, young Furiosa is snatched from the Green Place of Many Mothers into the hands of a great biker horde led by the warlord Dementus. Sweeping through the wasteland, they encounter the citadel presided over by Immortan Joe. The two tyrants wage war for dominance, and Furiosa must survive many trials as she puts together the means to find her way home.",7.487,"Anya Taylor-Joy, Chris Hemsworth, Tom Burke",George Miller
